source_id,source_name,source_website
S077,Government of Kazakhstan,https://www.coronavirus2020.kz/
S078,Ministry of Health,https://twitter.com/MOH_Kenya/status/1406627604132773892
S079,Ministry of Health,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/2019880388169538
S080,Ministry of Health,https://www.arabtimesonline.com/news/72-4-population-vaccinated-in-kuwait/
S081,Ministry of Health,"https://akipress.com/news:659241:Kyrgyzstan_vaccinates_over_88,000_against_COVID-19/"
S082,Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/photos/a.1580136645344357/4352313321459995/
S083,National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
S084,Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
S085,Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL
S086,Ministry of Health,https://experience.arcgis.com/experience/cab84dcfe0464c2a8050a78f817924ca/page/page_3/
S087,Government of Luxembourg,https://covid19.public.lu/fr.html
S088,Government of Macao,https://www.gov.mo/zh-hant/news/514196/
S089,Ministry of Health,https://twitter.com/health_malawi/status/1406256759174533135
S090,Government of Malaysia,https://www.vaksincovid.gov.my/statistik/
S091,Presidency of the Maldives,https://twitter.com/HPA_MV/status/1406663443378176003
S092,COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
S093,Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/647167/2021.06.20_17h00_ComunicadoTecnicoDiario_Covid19.pdf
S094,Ministry of Health,https://vaccinare.gov.md/
S095,National Council,https://www.gouv.mc//Action-Gouvernementale/Coronavirus-Covid-19/Actualites/Covid-19-quatre-nouveaux-cas-positifs-ce-vendredi-11-juin
S096,Ministry of Health via ikon.mn,https://ikon.mn/
S097,Government of Montenegro,https://www.covidodgovor.me/
S098,Ministry of Health,http://www.covidmaroc.ma/pages/Accueilfr.aspx
S099,Ministry of Health and Social Services,https://www.facebook.com/MoHSSNamibia/photos/a.500006330672375/766186130721059/
S100,Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/60cdcbdabc01a_SitRep496_COVID-19_19-06-2021_EN.pdf
S101,RIVM via European CDC,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea
S102,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
S103,Government of Nigeria,https://twitter.com/NphcdaNG/status/1400875651012378627
S104,Government of North Macedonia,https://twitter.com/ZdravstvoMK/status/1405859988455710725
