,iso_code,country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccine_id,vaccine_names,source_id,source_name,source_website
0,AFG,Afghanistan,2/22/2021,0,0,0,0,0,0.0,0.0,0.0,0,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
1,AFG,Afghanistan,2/23/2021,0,0,0,0,1367,0.0,0.0,0.0,35,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
2,AFG,Afghanistan,2/24/2021,0,0,0,0,1367,0.0,0.0,0.0,35,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
3,AFG,Afghanistan,2/25/2021,0,0,0,0,1367,0.0,0.0,0.0,35,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
4,AFG,Afghanistan,2/26/2021,0,0,0,0,1367,0.0,0.0,0.0,35,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
5,AFG,Afghanistan,2/27/2021,0,0,0,0,1367,0.0,0.0,0.0,35,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
6,AFG,Afghanistan,2/28/2021,8200,8200,0,0,1367,0.02,0.02,0.0,35,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
7,AFG,Afghanistan,3/1/2021,0,0,0,0,1580,0.0,0.0,0.0,41,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
8,AFG,Afghanistan,3/10/2021,0,0,0,0,2862,0.0,0.0,0.0,74,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
9,AFG,Afghanistan,3/11/2021,0,0,0,0,2862,0.0,0.0,0.0,74,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
10,AFG,Afghanistan,3/12/2021,0,0,0,0,2862,0.0,0.0,0.0,74,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
11,AFG,Afghanistan,3/13/2021,0,0,0,0,2862,0.0,0.0,0.0,74,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
12,AFG,Afghanistan,3/14/2021,0,0,0,0,2862,0.0,0.0,0.0,74,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
13,AFG,Afghanistan,3/15/2021,0,0,0,0,2862,0.0,0.0,0.0,74,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
14,AFG,Afghanistan,3/16/2021,54000,54000,0,0,2862,0.14,0.14,0.0,74,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
15,AFG,Afghanistan,3/17/2021,0,0,0,0,2882,0.0,0.0,0.0,74,"['V002', 'V008', 'V009']","['BBIBP-CorV', 'Oxford/AstraZeneca', 'Pfizer/BioNTech']",S001,World Health Organization,https://covid19.who.int/
