iso_code,country,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccine_id,vaccine_names,source_id,source_name,source_website,dropout_date,vaccine_count,coverage_group,daily_vaccination_7d_avg,vaccination_momentum
CHN,China,2020-12-15,1500000,0,0,0,0,0.1,0.0,0.0,0,"V003, V012, V014, V015","CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",S031,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/ddd7b535796040ed8b86f9e34fd218bb.shtml,0.0,4,Low,390306.0,0.0
RUS,Russia,2020-12-15,28500,28500,0,0,0,0.02,0.02,0.0,0,"V005, V017","EpiVacCorona, Sputnik V",S118,Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats,100.0,2,Low,30834.85714285714,0.0
OWID_SCT,Scotland,2020-12-15,32123,32122,1,7307,4296,0.59,0.59,0.0,786,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S046,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare,99.99688686881264,3,Low,3772.285714285714,13.373595243283628
NOR,Norway,2020-12-15,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,425.57142857142856,0.0
CAN,Canada,2020-12-15,723,723,0,718,718,0.0,0.0,0.0,19,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S028,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html,100.0,3,Low,13371.714285714286,99.30843706777316
OWID_SCT,Scotland,2020-12-16,39265,39264,1,7142,4770,0.72,0.72,0.0,873,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S046,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare,99.99745313773433,3,Low,3485.285714285714,12.148223608811918
CAN,Canada,2020-12-16,3023,3023,0,2300,1509,0.01,0.01,0.0,40,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S028,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html,100.0,3,Low,11858.0,49.91730069467417
RUS,Russia,2020-12-16,0,0,0,0,3357,0.0,0.02,0.0,23,"V005, V017","EpiVacCorona, Sputnik V",S118,Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats,0.0,2,Low,23633.571428571428,0.0
NOR,Norway,2020-12-16,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,0.0,0.0
CHN,China,2020-12-16,0,0,0,0,187500,0.0,0.0,0.0,130,"V003, V012, V014, V015","CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",S031,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/ddd7b535796040ed8b86f9e34fd218bb.shtml,0.0,4,Low,364795.8571428572,0.0
CAN,Canada,2020-12-17,7202,7202,0,4179,2399,0.02,0.02,0.0,64,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S028,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html,100.0,3,Low,10175.857142857143,33.31019161344071
NOR,Norway,2020-12-17,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,0.0,0.0
DNK,Denmark,2020-12-17,1,1,0,0,0,0.0,0.0,0.0,0,"V006, V007, V009","Johnson&Johnson, Moderna, Pfizer/BioNTech",S041,Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata,100.0,3,Low,7363.714285714285,0.0
OWID_SCT,Scotland,2020-12-17,46313,46312,1,7048,5096,0.85,0.85,0.0,933,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S046,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare,99.99784073242355,3,Low,4213.285714285715,11.003389976896337
CHN,China,2020-12-17,0,0,0,0,187500,0.0,0.0,0.0,130,"V003, V012, V014, V015","CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",S031,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/ddd7b535796040ed8b86f9e34fd218bb.shtml,0.0,4,Low,332908.14285714284,0.0
RUS,Russia,2020-12-17,0,0,0,0,3357,0.0,0.02,0.0,23,"V005, V017","EpiVacCorona, Sputnik V",S118,Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats,0.0,2,Low,17449.0,0.0
CAN,Canada,2020-12-18,11174,11174,0,3972,2792,0.03,0.03,0.0,74,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S028,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html,100.0,3,Low,8087.714285714285,24.986575979953464
RUS,Russia,2020-12-18,0,0,0,0,3357,0.0,0.02,0.0,23,"V005, V017","EpiVacCorona, Sputnik V",S118,Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats,0.0,2,Low,12281.142857142857,0.0
OWID_SCT,Scotland,2020-12-18,54775,54772,3,8462,5552,1.0,1.0,0.0,1016,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S046,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare,99.99452274884976,3,Low,4254.285714285715,10.136010953902328
NOR,Norway,2020-12-18,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,0.0,0.0
CHN,China,2020-12-18,0,0,0,0,187500,0.0,0.0,0.0,130,"V003, V012, V014, V015","CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",S031,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/ddd7b535796040ed8b86f9e34fd218bb.shtml,0.0,4,Low,294642.8571428572,0.0
DNK,Denmark,2020-12-18,0,0,0,0,0,0.0,0.0,0.0,0,"V006, V007, V009","Johnson&Johnson, Moderna, Pfizer/BioNTech",S041,Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata,0.0,3,Low,6449.714285714285,0.0
CAN,Canada,2020-12-19,11894,11894,0,720,2378,0.03,0.03,0.0,63,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S028,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html,100.0,3,Low,5226.142857142857,19.993273919623338
OWID_SCT,Scotland,2020-12-19,58115,58112,3,3340,5727,1.06,1.06,0.0,1048,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S046,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare,99.99483755506608,3,Low,4545.0,9.854598640626344
NOR,Norway,2020-12-19,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,0.0,0.0
DNK,Denmark,2020-12-19,2,2,0,0,0,0.0,0.0,0.0,0,"V006, V007, V009","Johnson&Johnson, Moderna, Pfizer/BioNTech",S041,Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata,100.0,3,Low,5445.857142857143,0.0
CHN,China,2020-12-19,0,0,0,0,187500,0.0,0.0,0.0,130,"V003, V012, V014, V015","CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",S031,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/ddd7b535796040ed8b86f9e34fd218bb.shtml,0.0,4,Low,250000.0,0.0
ISR,Israel,2020-12-19,60,60,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S072,Government of Israel,https://datadashboard.health.gov.il/COVID-19/general,100.0,2,Low,100967.42857142857,0.0
RUS,Russia,2020-12-19,0,0,0,0,3357,0.0,0.02,0.0,23,"V005, V017","EpiVacCorona, Sputnik V",S118,Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats,0.0,2,Low,8129.857142857143,0.0
OWID_SCT,Scotland,2020-12-20,60637,60634,3,2522,5929,1.11,1.11,0.0,1085,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S046,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare,99.9950522808985,3,Low,4987.571428571428,9.777858403285125
DNK,Denmark,2020-12-20,0,0,0,0,0,0.0,0.0,0.0,0,"V006, V007, V009","Johnson&Johnson, Moderna, Pfizer/BioNTech",S041,Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata,0.0,3,Low,4279.142857142857,0.0
ISR,Israel,2020-12-20,7419,7419,0,7359,7359,0.09,0.09,0.0,850,"V007, V009","Moderna, Pfizer/BioNTech",S072,Government of Israel,https://datadashboard.health.gov.il/COVID-19/general,100.0,2,Low,83428.42857142857,99.19126566922766
CHN,China,2020-12-20,0,0,0,0,187500,0.0,0.0,0.0,130,"V003, V012, V014, V015","CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",S031,National Health Commission,http://www.nhc.gov.cn/xcs/yqjzqk/202106/ddd7b535796040ed8b86f9e34fd218bb.shtml,0.0,4,Low,205357.14285714287,0.0
NOR,Norway,2020-12-20,0,0,0,0,0,0.0,0.0,0.0,0,"V007, V009","Moderna, Pfizer/BioNTech",S106,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/,0.0,2,Low,0.0,0.0
CAN,Canada,2020-12-20,12738,12738,0,844,2122,0.03,0.03,0.0,56,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S028,Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html,100.0,3,Low,1702.571428571429,16.658816140681427
RUS,Russia,2020-12-20,0,0,0,0,3357,0.0,0.02,0.0,23,"V005, V017","EpiVacCorona, Sputnik V",S118,Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats,0.0,2,Low,4995.285714285715,0.0
USA,United States,2020-12-20,556208,556208,0,0,0,0.17,0.17,0.0,0,"V006, V007, V009","Johnson&Johnson, Moderna, Pfizer/BioNTech",S146,Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/COVIDData/getAjaxData?id=vaccination_data,100.0,3,Low,329389.28571428574,0.0
OWID_SCT,Scotland,2020-12-21,70167,70163,4,9530,6479,1.28,1.28,0.0,1186,"V007, V008, V009","Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",S046,Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare,99.99429898949587,3,Low,5407.0,9.233685350663418
