country,date,people_vaccinated_per_hundred,predicted,error,abs error
Benin,2021-05-25,0.1,1.7355587603504112,-1.6355587603504111,1.6355587603504111
Bolivia,2021-05-25,9.81,15.401463957446314,-5.591463957446313,5.591463957446313
Wallis and Futuna,2021-05-25,38.7,39.9081471012647,-1.2081471012647,1.2081471012647
San Marino,2021-05-25,63.38,45.79869903230586,17.58130096769414,17.58130096769414
Turkey,2021-05-25,19.27,23.93738090540076,-4.667380905400762,4.667380905400762
Nauru,2021-05-25,68.23,18.5697165881208,49.660283411879206,49.660283411879206
Mozambique,2021-05-25,1.02,9.15867115200561,-8.13867115200561,8.13867115200561
Armenia,2021-05-25,0.9,6.405660326330082,-5.505660326330082,5.505660326330082
Morocco,2021-05-25,22.13,23.176915590698886,-1.0469155906988874,1.0469155906988874
India,2021-05-25,11.12,18.585893835229424,-7.465893835229425,7.465893835229425
Cyprus,2021-05-25,42.24,27.446056695079182,14.79394330492082,14.79394330492082
Laos,2021-05-25,8.28,10.058615387187722,-1.7786153871877222,1.7786153871877222
Bahrain,2021-05-25,52.22,39.84991859375462,12.370081406245376,12.370081406245376
Serbia,2021-05-25,35.68,33.0005307870495,2.679469212950501,2.679469212950501
United States,2021-05-25,49.15,38.55817593156338,10.591824068436615,10.591824068436615
Botswana,2021-05-25,5.65,8.687180126766371,-3.037180126766371,3.037180126766371
France,2021-05-25,35.45,27.28911134063932,8.160888659360683,8.160888659360683
Lebanon,2021-05-25,6.72,13.69933682103171,-6.979336821031711,6.979336821031711
Rwanda,2021-05-25,2.71,13.140507217613184,-10.430507217613183,10.430507217613183
Chile,2021-05-25,52.28,39.2421140896663,13.0378859103337,13.0378859103337
Switzerland,2021-05-25,33.08,25.292331834833117,7.787668165166881,7.787668165166881
Gabon,2021-05-25,0.48,7.480887116931839,-7.000887116931839,7.000887116931839
Cameroon,2021-05-25,0.2,5.097550741005609,-4.897550741005609,4.897550741005609
Namibia,2021-05-25,2.49,8.35805530945721,-5.86805530945721,5.86805530945721
Kyrgyzstan,2021-05-25,0.57,6.701490894121385,-6.131490894121384,6.131490894121384
Fiji,2021-05-25,11.94,12.123468328364321,-0.18346832836432192,0.18346832836432192
Latvia,2021-05-25,26.86,23.56099576672816,3.299004233271841,3.299004233271841
Turks and Caicos Islands,2021-05-25,53.62,39.68667797135821,13.93332202864179,13.93332202864179
Wales,2021-05-25,67.01,51.17237119152142,15.837628808478584,15.837628808478584
Liechtenstein,2021-05-25,31.37,26.412647708927825,4.957352291072176,4.957352291072176
Togo,2021-05-25,1.93,9.823179646579842,-7.893179646579842,7.893179646579842
Madagascar,2021-05-25,0.06,1.6580587603866768,-1.5980587603866767,1.5980587603866767
Aruba,2021-05-25,58.2,46.81626921924436,11.383730780755641,11.383730780755641
Kenya,2021-05-25,1.78,9.969884490159284,-8.189884490159285,8.189884490159285
Bulgaria,2021-05-25,11.03,20.4483791198962,-9.4183791198962,9.4183791198962
Seychelles,2021-05-25,71.64,67.39843689146996,4.241563108530045,4.241563108530045
Tonga,2021-05-25,24.57,14.651113569610853,9.918886430389147,9.918886430389147
Greenland,2021-05-25,20.82,22.56361538190311,-1.7436153819031084,1.7436153819031084
Macao,2021-05-25,15.01,16.436308788768688,-1.4263087887686883,1.4263087887686883
Samoa,2021-05-25,14.34,9.043356765833089,5.296643234166911,5.296643234166911
Ecuador,2021-05-25,8.56,15.656165131618263,-7.096165131618262,7.096165131618262
Ukraine,2021-05-25,2.26,11.016191108388732,-8.756191108388732,8.756191108388732
Antigua and Barbuda,2021-05-25,33.45,31.97516836792902,1.474831632070984,1.474831632070984
Peru,2021-05-25,7.57,14.107697362254246,-6.537697362254246,6.537697362254246
Djibouti,2021-05-25,1.27,5.583111649183774,-4.313111649183774,4.313111649183774
Georgia,2021-05-25,2.94,8.974911480604817,-6.034911480604817,6.034911480604817
Portugal,2021-05-25,35.56,27.57897620550418,7.981023794495822,7.981023794495822
Sint Maarten (Dutch part),2021-05-25,37.09,37.52662736670425,-0.4366273667042435,0.4366273667042435
New Zealand,2021-05-25,7.72,13.064900550930492,-5.344900550930492,5.344900550930492
Montenegro,2021-05-25,19.72,16.08202767910937,3.637972320890629,3.637972320890629
Zambia,2021-05-25,0.76,5.0118517796276905,-4.251851779627691,4.251851779627691
Kazakhstan,2021-05-25,10.73,15.37340072602581,-4.64340072602581,4.64340072602581
South Korea,2021-05-25,7.69,13.258240202514166,-5.568240202514166,5.568240202514166
Malta,2021-05-25,70.3,42.97546158897208,27.324538411027916,27.324538411027916
Zimbabwe,2021-05-25,4.3,12.238124251789518,-7.938124251789518,7.938124251789518
Singapore,2021-05-25,36.11,27.774509702826105,8.335490297173894,8.335490297173894
Tuvalu,2021-05-25,20.35,23.63611752066311,-3.286117520663108,3.286117520663108
Montserrat,2021-05-25,26.85,31.096118312578174,-4.246118312578172,4.246118312578172
Brunei,2021-05-25,7.37,8.961237952317184,-1.5912379523171838,1.5912379523171838
Luxembourg,2021-05-25,35.68,26.82737517104835,8.852624828951651,8.852624828951651
Belgium,2021-05-25,38.61,28.068546787136317,10.541453212863683,10.541453212863683
Timor,2021-05-25,4.84,6.252351779619957,-1.4123517796199572,1.4123517796199572
Tajikistan,2021-05-25,0.78,2.7236705123831406,-1.9436705123831406,1.9436705123831406
Thailand,2021-05-25,3.09,10.620792055561612,-7.530792055561612,7.530792055561612
Iraq,2021-05-25,0.74,9.891169381422806,-9.151169381422806,9.151169381422806
French Polynesia,2021-05-25,19.8,20.3689582903358,-0.5689582903358001,0.5689582903358001
Algeria,2021-05-25,0.17,13.064352103118697,-12.894352103118697,12.894352103118697
Hungary,2021-05-25,52.17,34.2384107327146,17.931589267285403,17.931589267285403
Guernsey,2021-05-25,49.17,45.85133183483312,3.3186681651668835,3.3186681651668835
Vietnam,2021-05-25,1.03,9.189312177646524,-8.159312177646525,8.159312177646525
New Caledonia,2021-05-25,16.29,19.424814146191654,-3.1348141461916548,3.1348141461916548
Central African Republic,2021-05-25,0.01,1.6530587602940727,-1.6430587602940727,1.6430587602940727
Czechia,2021-05-25,33.57,26.17640863793657,7.393591362063429,7.393591362063429
Sierra Leone,2021-05-25,0.73,8.57392556511179,-7.843925565111789,7.843925565111789
Iran,2021-05-25,3.26,12.351451645911464,-9.091451645911464,9.091451645911464
Faeroe Islands,2021-05-25,41.59,30.099743407466594,11.49025659253341,11.49025659253341
Poland,2021-05-25,34.24,27.020247467408435,7.219752532591567,7.219752532591567
Gibraltar,2021-05-25,115.73,92.05063319523907,23.67936680476093,23.67936680476093
Curacao,2021-05-25,50.76,41.02073350495871,9.739266495041285,9.739266495041285
Qatar,2021-05-25,47.26,25.154739212160276,22.105260787839722,22.105260787839722
England,2021-05-25,56.99,48.8908448733207,8.0991551266793,8.0991551266793
Germany,2021-05-25,40.58,28.370124854152767,12.209875145847231,12.209875145847231
Pakistan,2021-05-25,1.88,12.83101289935524,-10.951012899355241,10.951012899355241
Israel,2021-05-25,62.91,63.768666449416855,-0.8586664494168588,0.8586664494168588
Guyana,2021-05-25,23.8,18.69533289104049,5.104667108959511,5.104667108959511
Sri Lanka,2021-05-25,6.73,16.43010524587125,-9.70010524587125,9.70010524587125
South Sudan,2021-05-25,0.07,5.715528872577874,-5.645528872577874,5.645528872577874
Afghanistan,2021-05-25,1.22,10.681336729656937,-9.461336729656937,9.461336729656937
Mauritania,2021-05-25,0.48,6.949953610539524,-6.469953610539523,6.469953610539523
British Virgin Islands,2021-05-25,37.22,37.76768625341309,-0.5476862534130902,0.5476862534130902
United Arab Emirates,2021-05-25,51.38,45.024609490110024,6.355390509889979,6.355390509889979
Cook Islands,2021-05-25,24.84,20.858179541123267,3.981820458876733,3.981820458876733
Costa Rica,2021-05-25,17.03,21.258471705560698,-4.228471705560697,4.228471705560697
Bermuda,2021-05-25,57.96,44.40928991165684,13.550710088343159,13.550710088343159
Italy,2021-05-25,36.11,27.335057286585243,8.774942713414756,8.774942713414756
Sudan,2021-05-25,0.32,8.725372220439201,-8.405372220439201,8.405372220439201
Palestine,2021-05-25,5.48,10.02788781271039,-4.547887812710389,4.547887812710389
Estonia,2021-05-25,33.69,28.570117804805154,5.119882195194844,5.119882195194844
Mauritius,2021-05-25,16.68,18.937073995906136,-2.2570739959061363,2.2570739959061363
Democratic Republic of Congo,2021-05-25,0.02,4.276119443539475,-4.256119443539475,4.256119443539475
Spain,2021-05-25,36.76,27.54989827720428,9.210101722795716,9.210101722795716
Oman,2021-05-25,4.24,18.317798487816592,-14.077798487816592,14.077798487816592
Austria,2021-05-25,38.06,28.290395124423217,9.769604875576785,9.769604875576785
Yemen,2021-05-25,0.06,2.031670512383073,-1.971670512383073,1.971670512383073
Equatorial Guinea,2021-05-25,10.16,10.809435672838294,-0.649435672838294,0.649435672838294
Norway,2021-05-25,29.95,28.81046363585371,1.139536364146288,1.139536364146288
Libya,2021-05-25,1.55,4.974192730266839,-3.4241927302668396,3.4241927302668396
Honduras,2021-05-25,1.38,10.02904313557676,-8.649043135576761,8.649043135576761
Mexico,2021-05-25,14.43,21.05244521549449,-6.622445215494491,6.622445215494491
Congo,2021-05-25,0.41,5.015101779651559,-4.605101779651559,4.605101779651559
Barbados,2021-05-25,26.63,31.635609258429124,-5.005609258429125,5.005609258429125
Mali,2021-05-25,0.36,6.534433267255846,-6.1744332672558455,6.1744332672558455
Japan,2021-05-25,5.62,12.035958651609132,-6.415958651609132,6.415958651609132
Isle of Man,2021-05-25,72.06,50.235839928366204,21.8241600716338,21.8241600716338
Panama,2021-05-25,14.61,19.698972773076687,-5.088972773076687,5.088972773076687
Saint Lucia,2021-05-25,14.98,19.430116821537194,-4.450116821537193,4.450116821537193
Azerbaijan,2021-05-25,11.43,19.09574810147394,-7.665748101473941,7.665748101473941
Guatemala,2021-05-25,2.09,10.70141254001895,-8.61141254001895,8.61141254001895
Suriname,2021-05-25,11.2,14.709468597788835,-3.5094685977888354,3.5094685977888354
Comoros,2021-05-25,4.96,6.733341024803121,-1.7733410248031207,1.7733410248031207
Cape Verde,2021-05-25,3.84,8.584622473636134,-4.744622473636134,4.744622473636134
Cote d'Ivoire,2021-05-25,1.88,9.979502714755991,-8.099502714755992,8.099502714755992
Saudi Arabia,2021-05-25,0.0,15.444752347252827,-15.444752347252827,15.444752347252827
Jamaica,2021-05-25,5.07,11.589627015000868,-6.519627015000868,6.519627015000868
South Africa,2021-05-25,1.28,11.37836424421766,-10.098364244217661,10.098364244217661
Papua New Guinea,2021-05-25,0.24,6.392069630892259,-6.1520696308922584,6.1520696308922584
Northern Ireland,2021-05-25,54.43,46.77428608513853,7.655713914861472,7.655713914861472
Uzbekistan,2021-05-25,3.58,7.859364030033717,-4.279364030033717,4.279364030033717
Cambodia,2021-05-25,13.8,16.552505054562257,-2.7525050545622562,2.7525050545622562
Hong Kong,2021-05-25,17.05,18.116831235151484,-1.0668312351514828,1.0668312351514828
Nauru,2021-05-26,68.23,18.788791089500183,49.441208910499824,49.441208910499824
Jamaica,2021-05-26,5.07,11.808701516380243,-6.738701516380242,6.738701516380242
Belarus,2021-05-26,4.64,17.459185914365978,-12.819185914365978,12.819185914365978
Palestine,2021-05-26,5.75,10.246962314089764,-4.496962314089764,4.496962314089764
Anguilla,2021-05-26,58.73,44.76119153274905,13.968808467250945,13.968808467250945
China,2021-05-26,0.0,18.0736463638122,-18.0736463638122,18.0736463638122
South Africa,2021-05-26,1.4,11.597438745597035,-10.197438745597035,10.197438745597035
Mauritius,2021-05-26,16.68,19.15614849728551,-2.476148497285511,2.476148497285511
Andorra,2021-05-26,35.74,27.132619085520698,8.607380914479304,8.607380914479304
Namibia,2021-05-26,2.56,8.577129810836585,-6.017129810836584,6.017129810836584
Congo,2021-05-26,0.41,5.234176281030933,-4.824176281030933,4.824176281030933
Egypt,2021-05-26,1.77,13.97890633621251,-12.208906336212511,12.208906336212511
Somalia,2021-05-26,0.79,5.3643483127263245,-4.5743483127263245,4.5743483127263245
Lithuania,2021-05-26,35.84,28.55521286904575,7.284787130954253,7.284787130954253
United States,2021-05-26,49.36,38.777250432942765,10.582749567057235,10.582749567057235
Bermuda,2021-05-26,57.96,44.62836441303621,13.331635586963792,13.331635586963792
Azerbaijan,2021-05-26,11.69,19.314822602853315,-7.624822602853316,7.624822602853316
Ukraine,2021-05-26,2.27,11.235265609768106,-8.965265609768107,8.965265609768107
Kosovo,2021-05-26,2.86,7.732713051514278,-4.872713051514278,4.872713051514278
Australia,2021-05-26,13.03,11.795602127155789,1.2343978728442107,1.2343978728442107
Bolivia,2021-05-26,10.16,15.620538458825681,-5.460538458825681,5.460538458825681
Cyprus,2021-05-26,43.0,27.665131196458557,15.334868803541443,15.334868803541443
Albania,2021-05-26,16.67,16.894409189155542,-0.22440918915554064,0.22440918915554064
Argentina,2021-05-26,19.64,22.7389604705906,-3.098960470590601,3.098960470590601
Tonga,2021-05-26,24.57,14.870188070990228,9.699811929009773,9.699811929009773
Equatorial Guinea,2021-05-26,10.16,11.028510174217669,-0.8685101742176684,0.8685101742176684
Mauritania,2021-05-26,0.48,7.169028111918898,-6.689028111918898,6.689028111918898
Wales,2021-05-26,67.24,51.3914456929008,15.848554307099192,15.848554307099192
Taiwan,2021-05-26,1.34,7.864789047572376,-6.524789047572376,6.524789047572376
Malta,2021-05-26,70.64,43.19453609035145,27.445463909648552,27.445463909648552
Sierra Leone,2021-05-26,0.73,8.793000066491164,-8.063000066491163,8.063000066491163
Russia,2021-05-26,11.07,21.601896363812212,-10.531896363812212,10.531896363812212
Liechtenstein,2021-05-26,32.11,26.631722210307206,5.478277789692793,5.478277789692793
Saint Vincent and the Grenadines,2021-05-26,16.6,19.71430753562588,-3.11430753562588,3.11430753562588
Seychelles,2021-05-26,71.64,67.61751139284934,4.022488607150663,4.022488607150663
Angola,2021-05-26,2.02,10.55262483518322,-8.53262483518322,8.53262483518322
Georgia,2021-05-26,3.04,9.193985981984191,-6.153985981984191,6.153985981984191
Turkey,2021-05-26,19.35,24.156455406780136,-4.806455406780135,4.806455406780135
Hong Kong,2021-05-26,17.2,18.335905736530858,-1.1359057365308587,1.1359057365308587
Nigeria,2021-05-26,0.94,9.853783806213173,-8.913783806213173,8.913783806213173
Central African Republic,2021-05-26,0.01,1.8721332616734472,-1.8621332616734472,1.8621332616734472
Maldives,2021-05-26,57.06,50.23839315207553,6.821606847924471,6.821606847924471
Czechia,2021-05-26,34.19,26.395483139315946,7.794516860684052,7.794516860684052
Cambodia,2021-05-26,14.13,16.77157955594163,-2.6415795559416306,2.6415795559416306
Samoa,2021-05-26,14.34,9.262431267212463,5.077568732787537,5.077568732787537
Cameroon,2021-05-26,0.21,5.316625242384983,-5.106625242384983,5.106625242384983
Cape Verde,2021-05-26,3.9,8.803696975015509,-4.903696975015508,4.903696975015508
Scotland,2021-05-26,58.11,47.00684776877742,11.10315223122258,11.10315223122258
Algeria,2021-05-26,0.17,13.283426604498072,-13.113426604498072,13.113426604498072
Ethiopia,2021-05-26,1.51,6.408138915587113,-4.898138915587113,4.898138915587113
Bahrain,2021-05-26,52.42,40.06899309513399,12.351006904866011,12.351006904866011
Bangladesh,2021-05-26,3.54,15.91621742805592,-12.37621742805592,12.37621742805592
Moldova,2021-05-26,7.47,11.522666308616003,-4.052666308616003,4.052666308616003
Aruba,2021-05-26,58.3,47.03534372062373,11.264656279376268,11.264656279376268
Saint Kitts and Nevis,2021-05-26,29.36,26.07469694532207,3.2853030546779287,3.2853030546779287
Isle of Man,2021-05-26,72.07,50.454914429745585,21.615085570254408,21.615085570254408
Cuba,2021-05-26,7.1,6.678574724893927,0.4214252751060723,0.4214252751060723
Indonesia,2021-05-26,5.68,17.232512435400817,-11.552512435400818,11.552512435400818
Paraguay,2021-05-26,3.99,11.69446114297983,-7.704461142979829,7.704461142979829
Mongolia,2021-05-26,56.24,30.004037604662773,26.23596239533723,26.23596239533723
United Kingdom,2021-05-26,56.88,49.04328966453208,7.83671033546792,7.83671033546792
Belize,2021-05-26,15.41,17.093529032644373,-1.6835290326443726,1.6835290326443726
Bulgaria,2021-05-26,11.18,20.667453621275573,-9.487453621275574,9.487453621275574
Ghana,2021-05-26,2.73,11.678458168516453,-8.948458168516453,8.948458168516453
Turks and Caicos Islands,2021-05-26,53.62,39.905752472737575,13.714247527262422,13.714247527262422
Denmark,2021-05-26,34.25,28.498685786482827,5.751314213517173,5.751314213517173
Philippines,2021-05-26,3.16,10.85799962087976,-7.697999620879759,7.697999620879759
Vietnam,2021-05-26,1.03,9.408386679025899,-8.3783866790259,8.3783866790259
Bhutan,2021-05-26,62.55,65.38360438310508,-2.833604383105083,2.833604383105083
Wallis and Futuna,2021-05-26,38.7,40.127221602644084,-1.4272216026440816,1.4272216026440816
Latvia,2021-05-26,27.28,23.780070268107533,3.4999297318924683,3.4999297318924683
Spain,2021-05-26,37.4,27.768972778583656,9.631027221416343,9.631027221416343
Jordan,2021-05-26,12.74,18.00630031418869,-5.266300314188689,5.266300314188689
Nepal,2021-05-26,7.25,17.518505563648905,-10.268505563648905,10.268505563648905
Qatar,2021-05-26,47.95,25.37381371353965,22.576186286460352,22.576186286460352
Guinea,2021-05-26,1.67,7.509169908543033,-5.839169908543033,5.839169908543033
Gibraltar,2021-05-26,115.73,92.26970769661844,23.460292303381564,23.460292303381564
Yemen,2021-05-26,0.06,2.2507450137624474,-2.1907450137624473,2.1907450137624473
Brazil,2021-05-26,20.34,21.598063716733012,-1.2580637167330124,1.2580637167330124
Luxembourg,2021-05-26,35.68,27.046449672427723,8.633550327572276,8.633550327572276
Liberia,2021-05-26,1.1,2.662133261619857,-1.562133261619857,1.562133261619857
Grenada,2021-05-26,14.52,19.308328961047334,-4.788328961047334,4.788328961047334
Northern Ireland,2021-05-26,54.61,46.99336058651791,7.6166394134820905,7.6166394134820905
Slovakia,2021-05-26,30.04,26.520687064297956,3.519312935702043,3.519312935702043
Comoros,2021-05-26,4.96,6.952415526182495,-1.9924155261824952,1.9924155261824952
Laos,2021-05-26,8.45,10.277689888567096,-1.8276898885670967,1.8276898885670967
Kenya,2021-05-26,1.79,10.188958991538659,-8.39895899153866,8.39895899153866
Bosnia and Herzegovina,2021-05-26,5.76,12.523132882615815,-6.763132882615816,6.763132882615816
Libya,2021-05-26,1.55,5.193267231646214,-3.643267231646214,3.643267231646214
Oman,2021-05-26,4.24,18.536872989195967,-14.296872989195966,14.296872989195966
Guernsey,2021-05-26,49.17,46.0704063362125,3.099593663787502,3.099593663787502
Brunei,2021-05-26,8.07,9.180312453696558,-1.110312453696558,1.110312453696558
Thailand,2021-05-26,3.17,10.839866556940986,-7.6698665569409865,7.6698665569409865
Poland,2021-05-26,34.73,27.23932196878781,7.4906780312121874,7.4906780312121874
French Polynesia,2021-05-26,19.8,20.588032791715175,-0.7880327917151746,0.7880327917151746
Japan,2021-05-26,6.01,12.255033152988506,-6.245033152988507,6.245033152988507
Saint Lucia,2021-05-26,15.02,19.64919132291657,-4.629191322916569,4.629191322916569
Panama,2021-05-26,14.98,19.91804727445606,-4.938047274456061,4.938047274456061
Serbia,2021-05-26,35.68,33.219605288428866,2.4603947115711335,2.4603947115711335
Colombia,2021-05-26,11.1,15.103574819655233,-4.003574819655233,4.003574819655233
Papua New Guinea,2021-05-26,0.24,6.611144132271633,-6.371144132271633,6.371144132271633
Senegal,2021-05-26,2.65,12.150960681585783,-9.500960681585783,9.500960681585783
Saudi Arabia,2021-05-26,0.0,15.663826848632201,-15.663826848632201,15.663826848632201
Belgium,2021-05-26,38.92,28.28762128851569,10.63237871148431,10.63237871148431
North Macedonia,2021-05-26,10.6,13.250531529102219,-2.650531529102219,2.650531529102219
Zimbabwe,2021-05-26,4.33,12.457198753168893,-8.127198753168893,8.127198753168893
Peru,2021-05-26,7.81,14.32677186363362,-6.516771863633621,6.516771863633621
Croatia,2021-05-26,29.74,24.65396691380705,5.086033086192948,5.086033086192948
Suriname,2021-05-26,11.36,14.928543099168213,-3.568543099168213,3.568543099168213
Solomon Islands,2021-05-26,1.91,7.8725441832891825,-5.962544183289182,5.962544183289182
British Virgin Islands,2021-05-26,37.22,37.986760754792456,-0.7667607547924575,0.7667607547924575
Kuwait,2021-05-26,19.25,24.69143081232527,-5.441430812325269,5.441430812325269
San Marino,2021-05-26,63.39,46.017773533685244,17.372226466314757,17.372226466314757
Rwanda,2021-05-26,2.71,13.359581718992558,-10.649581718992557,10.649581718992557
Niger,2021-05-26,0.63,6.875695507654672,-6.2456955076546725,6.2456955076546725
Malaysia,2021-05-26,5.35,12.353372148852163,-7.003372148852163,7.003372148852163
South Sudan,2021-05-26,0.08,5.934603373957248,-5.854603373957248,5.854603373957248
Venezuela,2021-05-26,1.11,11.508470652988517,-10.398470652988518,10.398470652988518
Cayman Islands,2021-05-26,65.11,45.74819969347028,19.361800306529716,19.361800306529716
Finland,2021-05-26,42.88,30.170355908327895,12.709644091672107,12.709644091672107
Tunisia,2021-05-26,4.89,10.252124731865688,-5.362124731865689,5.362124731865689
Netherlands,2021-05-26,36.67,27.01702948408104,9.652970515918962,9.652970515918962
Estonia,2021-05-26,34.12,28.78919230618453,5.330807693815469,5.330807693815469
Sint Maarten (Dutch part),2021-05-26,37.09,37.745701868083614,-0.6557018680836109,0.6557018680836109
Chile,2021-05-26,53.22,39.46118859104568,13.758811408954315,13.758811408954315
Timor,2021-05-26,4.84,6.4714262809993315,-1.6314262809993316,1.6314262809993316
